TradeDate,Ticker,Side,Quantity,Price,Yield,Book,Broker,Account,Status
2015-08-10T09:00:00Z,ES3.SI,buy,97,3.0427,,Rodion,Maybank,MIP,
2015-09-10T09:00:00Z,ES3.SI,buy,116,2.9609,,Rodion,Maybank,MIP,
2015-11-13T09:00:00Z,ES3.SI,buy,95,3.0829,,Rodion,Maybank,MIP,
2015-12-11T09:00:00Z,ES3.SI,buy,114,2.9618,,Rodion,Maybank,MIP,
2016-01-13T09:00:00Z,ES3.SI,buy,120,2.8432,,Rodion,Maybank,MIP,
2016-04-08T09:00:00Z,ES3.SI,buy,500,2.8326,,Rodion,Maybank,CDP,
2017-03-08T09:00:00Z,ES3.SI,buy,91,3.15,,Rodion,Maybank,MIP,
2017-04-10T09:00:00Z,ES3.SI,buy,91,3.19,,Rodion,Maybank,MIP,
2017-05-12T09:00:00Z,ES3.SI,buy,88,3.28,,Rodion,Maybank,MIP,
2017-06-08T09:00:00Z,ES3.SI,buy,88,3.29,,Rodion,Maybank,MIP,
2017-07-13T09:00:00Z,ES3.SI,buy,147,3.29,,Rodion,Maybank,MIP,
2017-08-08T09:00:00Z,ES3.SI,buy,115,3.34,,Rodion,Maybank,MIP,
2017-09-08T09:00:00Z,ES3.SI,buy,118,3.2701,,Rodion,Maybank,MIP,
2017-10-09T09:00:00Z,ES3.SI,buy,132,3.3290,,Rodion,Maybank,MIP,
2017-11-08T09:00:00Z,ES3.SI,buy,84,3.451,,Rodion,Maybank,MIP,
2017-12-08T09:00:00Z,ES3.SI,buy,169,3.467,,Rodion,Maybank,MIP,
2018-01-08T09:00:00Z,ES3.SI,buy,55,3.55,,Rodion,Maybank,MIP,
2018-02-08T09:00:00Z,ES3.SI,buy,55,3.42,,Rodion,Maybank,MIP,
2018-03-08T09:00:00Z,ES3.SI,buy,85,3.48,,Rodion,Maybank,MIP,
2018-04-09T09:00:00Z,ES3.SI,buy,85,3.4251,,Rodion,Maybank,MIP,
2018-05-08T09:00:00Z,ES3.SI,buy,27,3.58,,Rodion,Maybank,MIP,
2018-06-08T09:00:00Z,ES3.SI,buy,27,3.5190,,Rodion,Maybank,MIP,
2018-07-16T09:00:00Z,ES3.SI,buy,300,3.2887,,Rodion,SCB,SCB,
2018-08-01T09:00:00Z,ES3.SI,buy,100,3.3844,,Rodion,SCB,SCB,
2018-09-11T09:00:00Z,ES3.SI,buy,100,3.1563,,Rodion,SCB,SCB,
2018-10-15T09:00:00Z,ES3.SI,buy,100,3.1063,,Rodion,SCB,SCB,
2018-11-20T09:00:00Z,ES3.SI,buy,100,3.0862,,Rodion,SCB,SCB,
2018-11-20T09:00:00Z,ES3.SI,buy,100,3.0822,,Rodion,SCB,SCB,
2018-12-18T09:00:00Z,ES3.SI,buy,100,3.1163,,Rodion,SCB,SCB,
2019-02-28T09:00:00Z,ES3.SI,buy,100,3.2364,,Rodion,SCB,SCB,
2019-03-25T09:00:00Z,ES3.SI,buy,100,3.1764,,Rodion,SCB,SCB,
2019-05-06T09:00:00Z,ES3.SI,buy,100,3.3669,,Rodion,SCB,SCB,
2019-05-15T09:00:00Z,ES3.SI,buy,100,3.2766,,Rodion,SCB,SCB,
2019-08-13T09:00:00Z,ES3.SI,buy,100,3.1613,,Rodion,SCB,SCB,
2019-10-02T09:00:00Z,ES3.SI,buy,100,3.1533,,Rodion,SCB,SCB,
2019-10-04T09:00:00Z,ES3.SI,buy,100,3.1163,,Rodion,SCB,SCB,
2019-10-22T09:00:00Z,ES3.SI,sell,300,3.1995,,Rodion,SCB,SCB,
2019-12-03T09:00:00Z,ES3.SI,buy,100,3.2264,,Rodion,SCB,SCB,
2019-12-04T09:00:00Z,ES3.SI,buy,100,3.1954,,Rodion,SCB,SCB,
