Ticker,ExDate,Amount,Interest,AvgInterest,WithholdingTax
CJLU.SI,2018-05-21,0.0324,,,0.0
CJLU.SI,2018-11-27,0.0244,,,0.0
FCOT.SI,2017-04-27,0.025057,,,0.0
FCOT.SI,2017-07-28,0.023979,,,0.0
FCOT.SI,2017-10-28,0.0241,,,0.0
FCOT.SI,2018-01-29,0.032,,,0.0
FCOT.SI,2018-04-30,0.016,,,0.0
FCOT.SI,2018-08-29,0.024,,,0.0
FCOT.SI,2018-11-29,0.024,,,0.0
FCOT.SI,2019-02-28,0.024049,,,0.0
FCOT.SI,2019-08-29,0.024,,,0.0
FCOT.SI,2020-02-28,0.024,,,0.0
FCOT.SI,2020-04-13,0.0276928,,,0.0
G3B.SI,2020-07-01,0.0662,,,0.0
G3B.SI,2021-01-04,0.0551,,,0.0
G3B.SI,2021-07-01,0.0506,,,0.0
G3B.SI,2022-01-03,0.0496,,,0.0
G3B.SI,2022-07-01,0.0550,,,0.0
G3B.SI,2023-01-03,0.0636,,,0.0
G3B.SI,2023-07-03,0.0668,,,0.0
G3B.SI,2024-01-02,0.0768,,,0.0
G3B.SI,2024-07-01,0.0806,,,0.0
G3B.SI,2025-01-02,0.0917,,,0.0
