Date,IRR,PricePaid,MV,TotalDividends
2021-06-23,0.0436,58975,63199,5083
2021-06-25,0.0436,58975,63292,5083
2021-07-17,0.0485,60508,65407,5136
2021-08-04,0.0505,62032,66282,5169
2021-08-09,0.0520,62032,66581,5169
2021-08-23,0.0452,63015,66560,5169
2021-08-25,0.0488,63015,66787,5416
2021-08-28,0.0470,63015,66284,5641
2021-09-23,0.0447,64109,67152,5693
2021-10-11,0.0431,64109,67015,5691
2021-10-18,0.0486,64109,68050,5691
2021-10-21,0.0496,65090,69229,5691
2021-10-25,0.0505,65188,69469,5743
2021-11-01,0.0525,65188,69874,5780
2021-11-15,0.0531,65188,70049,5856
2021-11-29,0.0452,71170,74683,5856
2021-12-02,0.0420,71170,74050,5933
2021-12-03,0.0434,71170,74250,5990
2021-12-08,0.0479,72428,76344,5990
2021-12-17,0.0442,72428,75719,6001
2021-12-22,0.0767,71577,74739,5857
2021-12-30,0.0797,71577,75493,5857
2022-01-19,0.0757,71674,75045,5903
2022-02-08,0.0742,71674,75012,5933
2022-02-18,0.0735,73225,76584,5933
2022-02-28,0.0689,73225,75161,6564
2022-03-01,0.0700,73225,75387,6562
2022-03-14,0.0658,74501,75958,6590
2022-03-17,0.0704,74501,76952,6590
2022-03-25,0.0751,74600,78122,6635
2022-04-07,0.0748,74600,78251,6638
2022-05-03,0.0693,75387,78482,6665
2022-05-29,0.0587,75487,76067,6902
2022-06-06,0.0609,75487,76593,6969
2022-06-13,0.0572,76508,76809,7046
2022-06-19,0.0529,76608,75950,7121
2022-07-19,0.0532,76608,76268,7180
2022-07-25,0.0567,88708,89222,7195
2022-08-02,0.0585,89730,90754,7227
2022-08-15,0.0604,104732,106425,7227
2022-09-04,0.0550,117082,116974,8058
2022-12-24,0.0419,138594,136078,8816
2023-02-05,0.0550,135697,137282,9189
2023-03-04,0.0463,122029,120504,10137
2023-05-27,0.0449,115398,114296,10474
2023-07-14,0.0470,105766,105697,10872
2023-08-09,0.0455,122687,122460,11196
2023-09-26,0.0418,166234,163237,13403
2023-10-14,0.0391,166234,162534,13403
2023-10-29,0.0336,220457,213757,14554
2023-12-10,0.0410,220457,217283,14891
2023-12-22,0.0419,221718,219177,14959
2024-02-15,0.0369,231464,227517,15456
2024-03-03,0.0371,232575,227983,16539
2024-04-27,0.0387,195487,192645,16667
2024-06-01,0.0410,141959,140440,17058
2024-06-27,0.0408,143072,141525,17369
2024-07-05,0.0442,143072,143241,17595
2024-07-11,0.0456,143072,144099,17595
2024-08-31,0.0494,210409,212322,19760
2024-09-18,0.0565,211875,218364,19936
2024-10-07,0.0556,211875,218327,20059
2024-12-05,0.0533,215262,221869,20409
2025-01-18,0.0510,216507,222738,20931
2025-01-22,0.0510,218059,224421,20931
